epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1003.45,0.48772,0.55232,0.92846,0.95201,0.85042,0.90564,0.85523,0.41056,0.52531,0.87857,0.00091882,0.00091882,0.00091882
43,1025.27,0.4843,0.53533,0.94443,0.92595,0.86163,0.91123,0.86114,0.35798,0.4983,0.83817,0.00091684,0.00091684,0.00091684
44,1047.15,0.48311,0.54753,0.92717,0.92381,0.82479,0.88133,0.83561,0.3525,0.55774,0.82824,0.00091486,0.00091486,0.00091486
45,1069.09,0.47816,0.53209,0.93529,0.90835,0.84314,0.89488,0.84483,0.35625,0.51322,0.82813,0.00091288,0.00091288,0.00091288
46,1091,0.47359,0.48676,0.92015,0.92418,0.85675,0.9127,0.86593,0.36885,0.54658,0.85136,0.0009109,0.0009109,0.0009109
47,1113.76,0.49341,0.55404,0.95658,0.9041,0.84491,0.89764,0.84132,0.35045,0.53868,0.83557,0.00090892,0.00090892,0.00090892
48,1136.21,0.46663,0.49683,0.93336,0.84365,0.85228,0.86951,0.8358,0.37738,0.60026,0.86276,0.00090694,0.00090694,0.00090694
49,1158.43,0.46257,0.49525,0.92663,0.92058,0.81281,0.87426,0.82669,0.40222,0.6369,0.88337,0.00090496,0.00090496,0.00090496
50,1180.55,0.46353,0.49297,0.91033,0.88551,0.87515,0.90929,0.86107,0.36889,0.51232,0.84763,0.00090298,0.00090298,0.00090298
51,1202.86,0.48297,0.52667,0.9311,0.85148,0.87902,0.88778,0.84057,0.39583,0.60211,0.87674,0.000901,0.000901,0.000901
52,1225.46,0.46199,0.51216,0.92726,0.88287,0.84484,0.87313,0.84213,0.35278,0.61892,0.83079,0.00089902,0.00089902,0.00089902
53,1248.28,0.45675,0.52247,0.91838,0.90853,0.86746,0.89292,0.86533,0.37018,0.5515,0.84851,0.00089704,0.00089704,0.00089704
54,1270.64,0.46075,0.49607,0.92031,0.90461,0.83814,0.89197,0.84805,0.35189,0.53162,0.84394,0.00089506,0.00089506,0.00089506
55,1292.8,0.4537,0.53807,0.9041,0.89175,0.83263,0.91312,0.86406,0.3377,0.5297,0.82683,0.00089308,0.00089308,0.00089308
