epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,744.019,0.43756,0.39874,0.91838,0.97007,0.89836,0.93138,0.88846,0.34958,0.3618,0.83995,0.000848969,0.000848969,0.000848969
43,759.749,0.42203,0.38262,0.90701,0.94377,0.87302,0.93125,0.89234,0.34925,0.36448,0.83381,0.000834822,0.000834822,0.000834822
44,777.507,0.40325,0.38868,0.89606,0.96655,0.88618,0.93229,0.89213,0.32381,0.32545,0.81488,0.000820675,0.000820675,0.000820675
45,795.358,0.41917,0.38315,0.91627,0.97862,0.89751,0.92949,0.8778,0.33249,0.35553,0.82125,0.000806528,0.000806528,0.000806528
46,813.241,0.39786,0.37195,0.89056,0.95929,0.88711,0.93124,0.89876,0.2889,0.33601,0.80705,0.00079238,0.00079238,0.00079238
47,830.757,0.39879,0.3605,0.89906,0.9914,0.87686,0.91982,0.88683,0.31793,0.37328,0.82147,0.000778233,0.000778233,0.000778233
48,847.686,0.37174,0.34719,0.88866,0.96526,0.90378,0.93169,0.89076,0.30633,0.34323,0.81885,0.000764086,0.000764086,0.000764086
49,864.717,0.38919,0.36542,0.88986,0.97342,0.87814,0.93559,0.9025,0.28756,0.32418,0.80206,0.000749939,0.000749939,0.000749939
50,882.361,0.40209,0.37067,0.89757,0.91539,0.89816,0.92421,0.88922,0.30295,0.40069,0.81487,0.000735792,0.000735792,0.000735792
51,899.552,0.37619,0.34793,0.89087,0.94635,0.92297,0.93917,0.88604,0.31411,0.32762,0.81077,0.000721645,0.000721645,0.000721645
52,916.83,0.38669,0.35565,0.89871,0.97283,0.87848,0.93163,0.89711,0.29525,0.35171,0.80485,0.000707498,0.000707498,0.000707498
53,935.058,0.36311,0.34116,0.879,0.95774,0.89897,0.93855,0.89943,0.29129,0.30049,0.80673,0.000693351,0.000693351,0.000693351
54,951.945,0.37712,0.32966,0.89835,0.96665,0.87452,0.93743,0.90619,0.28913,0.34093,0.80439,0.000679204,0.000679204,0.000679204
55,968.473,0.37121,0.31548,0.87704,0.95271,0.89006,0.93455,0.91451,0.28351,0.32595,0.79937,0.000665057,0.000665057,0.000665057
56,985.459,0.38524,0.33497,0.89257,0.91104,0.92218,0.94021,0.90721,0.29471,0.32329,0.80381,0.000650909,0.000650909,0.000650909
57,1003.51,0.37332,0.31578,0.88376,0.90773,0.87269,0.93235,0.90844,0.27338,0.33902,0.80184,0.000636762,0.000636762,0.000636762
58,1021.89,0.37212,0.32574,0.88839,0.93971,0.88259,0.94004,0.9015,0.27833,0.31435,0.80662,0.000622615,0.000622615,0.000622615
59,1038.74,0.35836,0.31685,0.87626,0.95247,0.92966,0.94709,0.91482,0.26389,0.26184,0.80061,0.000608468,0.000608468,0.000608468
60,1055.52,0.37175,0.30856,0.89405,0.94265,0.8994,0.93519,0.90604,0.25482,0.32701,0.79348,0.000594321,0.000594321,0.000594321
61,1072.79,0.35435,0.30232,0.87902,0.95292,0.88023,0.92899,0.89877,0.27359,0.31204,0.79637,0.000580174,0.000580174,0.000580174
62,1090.12,0.3604,0.31419,0.88387,0.95882,0.90841,0.93889,0.91043,0.27528,0.29331,0.79554,0.000566027,0.000566027,0.000566027
63,1107.43,0.35295,0.30577,0.88368,0.96456,0.91396,0.93149,0.90739,0.29324,0.30075,0.80226,0.00055188,0.00055188,0.00055188
64,1124.85,0.36242,0.31678,0.88223,0.97782,0.90517,0.93481,0.89919,0.29303,0.30399,0.80854,0.000537733,0.000537733,0.000537733
65,1141.78,0.3547,0.31119,0.87094,0.97138,0.90684,0.93088,0.89706,0.28785,0.32018,0.80549,0.000523586,0.000523586,0.000523586
66,1159.09,0.35135,0.30172,0.8876,0.96563,0.89761,0.93334,0.90288,0.28951,0.29473,0.805,0.000509438,0.000509438,0.000509438
67,1176.32,0.35665,0.31436,0.8905,0.96619,0.86952,0.93026,0.90351,0.26864,0.27985,0.80059,0.000495291,0.000495291,0.000495291
68,1192.41,0.33855,0.29517,0.88493,0.93273,0.90059,0.93243,0.90407,0.27739,0.27171,0.803,0.000481144,0.000481144,0.000481144
