epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2782.16,0.43924,1.86109,0.88071,0.91866,0.77869,0.87345,0.8582,0.2762,2.69477,0.76474,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,2874.38,0.45674,1.78953,0.88392,0.90909,0.80671,0.88818,0.8736,0.27042,2.59354,0.76177,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,2965.7,0.47135,1.71077,0.88787,0.87149,0.83919,0.90403,0.88741,0.27658,2.44111,0.75955,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,3057.43,0.4414,1.66242,0.87838,0.94318,0.84571,0.92132,0.90315,0.282,2.34969,0.76048,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,3148.58,0.44945,1.66674,0.87517,0.94571,0.80648,0.92189,0.90558,0.28046,2.3119,0.76109,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,3240.08,0.42701,1.64636,0.87778,0.88489,0.83584,0.91473,0.8946,0.27556,2.28551,0.7602,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,3331.96,0.43881,1.48541,0.87812,0.88562,0.86818,0.91732,0.89846,0.26154,2.23819,0.75964,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,3422.91,0.43593,1.60056,0.88542,0.93227,0.85466,0.92017,0.90436,0.26282,2.18175,0.75927,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,3514.52,0.43522,1.49952,0.87977,0.95697,0.80761,0.91866,0.90361,0.2728,2.15505,0.76136,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,3605.74,0.41725,1.50724,0.87866,0.95043,0.83927,0.92735,0.90957,0.26244,2.08751,0.75855,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,3697.9,0.45289,1.4551,0.90088,0.95534,0.83018,0.92657,0.90793,0.26027,2.03604,0.75718,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,3789.06,0.30766,2.27401,0.79114,0.95897,0.8409,0.93231,0.91369,0.26309,2.03102,0.75612,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,3880.3,0.29927,2.20066,0.79231,0.9457,0.83186,0.92085,0.90263,0.26699,2.08924,0.75533,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,3971.57,0.32117,2.1551,0.78603,0.94406,0.82541,0.91588,0.90167,0.26513,2.05012,0.75421,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,4063.04,0.30044,2.0904,0.77639,0.94306,0.81954,0.91069,0.89449,0.27153,2.02842,0.7533,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,4154.08,0.29109,2.05059,0.78876,0.85966,0.86363,0.91195,0.89868,0.2633,1.9759,0.75156,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,4246.67,0.29759,2.04173,0.78323,0.88786,0.86999,0.91259,0.89763,0.25809,1.92231,0.75173,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,4339.21,0.29204,2.0028,0.78975,0.9389,0.80393,0.91021,0.8975,0.25754,1.91095,0.75215,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,4432.44,0.27635,1.94577,0.7857,0.94825,0.8046,0.91436,0.90191,0.2545,1.88458,0.75134,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,4524.85,0.26788,1.96653,0.77526,0.88342,0.86833,0.91663,0.90442,0.25234,1.87933,0.75139,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,4615.6,0.27033,1.92139,0.77941,0.89388,0.85581,0.91988,0.90376,0.25298,1.86275,0.75137,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
