epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,16838.7,0.34693,0.74785,0.88683,0.56236,0.8543,0.71605,0.70188,0.25746,1.27431,0.78717,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,17336.9,0.36091,0.74799,0.88716,0.63613,0.85055,0.76847,0.75334,0.25212,1.28428,0.78502,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,17839.5,0.36122,0.75757,0.88801,0.65114,0.69872,0.74796,0.73365,0.23918,1.22219,0.77893,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,18338.2,0.3548,0.72528,0.8773,0.66092,0.66689,0.70603,0.69204,0.2422,1.27887,0.77533,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,18839.3,0.33706,0.70687,0.87501,0.6285,0.85975,0.73798,0.72464,0.22968,1.16539,0.77692,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,19340.4,0.34621,0.71707,0.87987,0.6091,0.79451,0.73159,0.71798,0.22872,1.18893,0.77616,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,19846.8,0.3451,0.7128,0.88311,0.62026,0.87131,0.76831,0.75511,0.22576,1.28986,0.77513,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,20351.8,0.34716,0.70642,0.89013,0.61242,0.74894,0.74847,0.73365,0.23435,1.22896,0.77919,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,20850.8,0.31802,0.6644,0.87597,0.59134,0.78683,0.78886,0.77307,0.2314,1.1935,0.77905,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,21361.6,0.31579,0.71032,0.86623,0.70406,0.53707,0.74513,0.73147,0.22545,1.21073,0.77372,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,21871.1,0.32658,0.6508,0.87483,0.65351,0.69296,0.75209,0.73726,0.22795,1.16277,0.77664,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,22378.5,0.21617,0.82571,0.76897,0.62961,0.56728,0.68513,0.66773,0.23135,1.18652,0.7836,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,22877.8,0.21997,0.81958,0.78894,0.71353,0.54429,0.69405,0.67922,0.2332,1.20262,0.78066,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,23375.9,0.21443,0.80004,0.77959,0.60538,0.60604,0.6822,0.66733,0.23108,1.12468,0.77919,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,23880.2,0.21432,0.78067,0.7763,0.72171,0.53444,0.66354,0.64587,0.22641,1.12234,0.77814,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,24376.1,0.20735,0.77047,0.77419,0.69986,0.55232,0.67643,0.66239,0.21529,1.15039,0.77748,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,24880.7,0.2076,0.76516,0.7908,0.65343,0.53906,0.70197,0.6878,0.21486,1.19766,0.77815,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,25378.9,0.20483,0.76493,0.7822,0.65779,0.54812,0.69478,0.68147,0.21445,1.17265,0.77693,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,25880.2,0.20415,0.75784,0.77907,0.66128,0.54528,0.69459,0.68135,0.22117,1.1761,0.7779,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,26372.4,0.19442,0.76286,0.78778,0.64032,0.55195,0.72707,0.71409,0.21824,1.18918,0.77588,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,26864.9,0.19389,0.74074,0.77202,0.63657,0.54657,0.72933,0.71653,0.21528,1.19208,0.77466,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
